section,panel,key,value,unit,description,source
metadata,,group,Group3,,record identity,process_record
metadata,,record_id,RSN2830FP_1_0_31,,record identity,process_record
metadata,,filename,RSN2830FP_1_0_31.txt,,record identity,process_record
metadata,,fs_Hz,256.01638504860176,Hz,estimated sampling frequency,estimate_fs
metadata,A,Acceleration_col,AccX[g],,source acceleration column,infer_acc_column
window,A/C/E,qsm_local_window_start_s,23.65625,s,local frequency extraction window start,local_window_mask
window,A/C/E,qsm_local_window_end_s,31.65625,s,local frequency extraction window end,local_window_mask
window,G/H,packet_window_sec,1.0,s,moving packet integration window,moving_abs_integral
window,B/D/F/J,fft_peak_band_low_Hz,0.05,Hz,frequency group extraction lower bound,fft_peak_group
window,B/D/F/J,fft_peak_band_high_Hz,20.0,Hz,frequency group extraction upper bound,fft_peak_group
window,B/D/F/J,fft_top_n,8,count,maximum peaks kept in each frequency group,fft_peak_group
effective_frequency,B/D/F/J,Teff_s,3.7,s,effective isolation period,constant TEFF_SEC
effective_frequency,B/D/F/J,f_eff_Hz,0.27027027027027023,Hz,effective isolation frequency = 1/Teff,constant TEFF_SEC
effective_frequency,B/D/F/J,0.5f_eff,0.13513513513513511,Hz,vertical reference line 0.5f_eff,draw_effective_frequency_lines
effective_frequency,B/D/F/J,1f_eff,0.27027027027027023,Hz,vertical reference line 1f_eff,draw_effective_frequency_lines
effective_frequency,B/D/F/J,2f_eff,0.5405405405405405,Hz,vertical reference line 2f_eff,draw_effective_frequency_lines
effective_frequency,B/D/F/J,3f_eff,0.8108108108108107,Hz,vertical reference line 3f_eff,draw_effective_frequency_lines
effective_frequency,B/D/F/J,4f_eff,1.081081081081081,Hz,vertical reference line 4f_eff,draw_effective_frequency_lines
signal_peak,A,Acceleration_peak_abs_g,0.24756959,g,absolute input acceleration peak,process_record
signal_peak,C,Velocity_peak_abs_mps,0.46179723662371175,m/s,absolute input velocity peak,process_record
power_peak,E,QSM_PowerFlow_peak_abs_W_per_kg,0.6279256489164698,W/kg,absolute input-side QSM Power peak,process_record
packet,G,QSM_PowerFlow_abs_packet_1s_peak_J_per_kg,0.2701578318393232,J/kg,peak 1s input-side QSM Power packet,process_record
timing,G,QSM_PowerFlow_abs_packet_1s_peak_time_s,27.65625,s,QSM packet peak time,process_record
timing,G,QSM_PowerFlow_packet_to_Iso_peak_lag_s,10.625,s,IsoDisp peak time minus QSM packet peak time,process_record
interface,H,Interface_power_peak_abs_kW,18.16706042725671,kW,absolute interface Power peak,process_record
interface,H,Interface_power_packet_1s_peak_kJ,11.207004027119726,kJ,peak 1s measured interface Power/Work packet,process_record
timing,H,Interface_power_packet_1s_peak_time_s,27.566406,s,interface packet peak time,process_record
timing,H,Interface_packet_to_Iso_peak_lag_s,10.714844,s,IsoDisp peak time minus interface packet peak time,process_record
interface,H,Interface_abs_work_kJ,62.67600149050562,kJ,accumulated absolute interface Work,process_record
response,I,IsoDisp_peak_abs_mm,220.57432995,mm,measured upper-lower displacement peak,process_record
response,I,IsoDisp_peak_time_s,38.28125,s,time of measured upper-lower displacement peak,process_record
input_displacement,A/C,Measured_input_disp_peak_abs_mm,224.8536482,mm,measured input displacement peak from shaking table file if available,process_record
input_displacement,C,CalcDisp_from_velocity_peak_abs_mm,239.10228315841422,mm,velocity-integrated input displacement peak,process_record
frequency_group,B,Acceleration_frequency_group_Hz,0.625;2.624;0.250;1.374;1.749;1.999;3.249;3.873,Hz,local acceleration frequency group,fft_peak_group
frequency_peak,B,Acceleration_peak1_freq_Hz,0.6247349561947335,Hz,local acceleration frequency group: peak 1 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak1_period_s,1.6006788000002583,s,local acceleration frequency group: peak 1 period,fft_peak_group
frequency_peak,B,Acceleration_peak1_rel_amp,1.0,0-1,local acceleration frequency group: peak 1 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak2_freq_Hz,2.6238868160178805,Hz,local acceleration frequency group: peak 2 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak2_period_s,0.3811140000000615,s,local acceleration frequency group: peak 2 period,fft_peak_group
frequency_peak,B,Acceleration_peak2_rel_amp,0.8394490490036001,0-1,local acceleration frequency group: peak 2 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak3_freq_Hz,0.2498939824778934,Hz,local acceleration frequency group: peak 3 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak3_period_s,4.001697000000646,s,local acceleration frequency group: peak 3 period,fft_peak_group
frequency_peak,B,Acceleration_peak3_rel_amp,0.8308453107202802,0-1,local acceleration frequency group: peak 3 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak4_freq_Hz,1.3744169036284137,Hz,local acceleration frequency group: peak 4 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak4_period_s,0.7275812727273901,s,local acceleration frequency group: peak 4 period,fft_peak_group
frequency_peak,B,Acceleration_peak4_rel_amp,0.7908819409465198,0-1,local acceleration frequency group: peak 4 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak5_freq_Hz,1.7492578773452538,Hz,local acceleration frequency group: peak 5 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak5_period_s,0.5716710000000923,s,local acceleration frequency group: peak 5 period,fft_peak_group
frequency_peak,B,Acceleration_peak5_rel_amp,0.6232568210748045,0-1,local acceleration frequency group: peak 5 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak6_freq_Hz,1.9991518598231472,Hz,local acceleration frequency group: peak 6 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak6_period_s,0.5002121250000807,s,local acceleration frequency group: peak 6 period,fft_peak_group
frequency_peak,B,Acceleration_peak6_rel_amp,0.5890144205974398,0-1,local acceleration frequency group: peak 6 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak7_freq_Hz,3.2486217722126143,Hz,local acceleration frequency group: peak 7 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak7_period_s,0.3078228461538958,s,local acceleration frequency group: peak 7 period,fft_peak_group
frequency_peak,B,Acceleration_peak7_rel_amp,0.43248650692261376,0-1,local acceleration frequency group: peak 7 relative amplitude,fft_peak_group
frequency_peak,B,Acceleration_peak8_freq_Hz,3.873356728407348,Hz,local acceleration frequency group: peak 8 frequency,fft_peak_group
frequency_peak,B,Acceleration_peak8_period_s,0.25817400000004165,s,local acceleration frequency group: peak 8 period,fft_peak_group
frequency_peak,B,Acceleration_peak8_rel_amp,0.29232491727370247,0-1,local acceleration frequency group: peak 8 relative amplitude,fft_peak_group
frequency_group,D,Velocity_frequency_group_Hz,0.250;0.625;1.374;1.125;1.749;2.624;1.999,Hz,local velocity frequency group,fft_peak_group
frequency_peak,D,Velocity_peak1_freq_Hz,0.2498939824778934,Hz,local velocity frequency group: peak 1 frequency,fft_peak_group
frequency_peak,D,Velocity_peak1_period_s,4.001697000000646,s,local velocity frequency group: peak 1 period,fft_peak_group
frequency_peak,D,Velocity_peak1_rel_amp,1.0,0-1,local velocity frequency group: peak 1 relative amplitude,fft_peak_group
frequency_peak,D,Velocity_peak2_freq_Hz,0.6247349561947335,Hz,local velocity frequency group: peak 2 frequency,fft_peak_group
